package_name,category,subcategory,framework,ecosystem
boto3,Application Integration,Service Integration Frameworks,Boto3,python
urllib3,Application Integration,RPC & Web Services,Urllib3,python
requests,Application Integration,RPC & Web Services,Requests,python
botocore,Application Integration,Service Integration Frameworks,Botocore,python
certifi,Security,Transport Security,Certifi,python
charset-normalizer,Utility Libraries,General Utilities,Charset-normalizer,python
idna,Utility Libraries,General Utilities,Idna,python
setuptools,Developer Tooling,Build Tools,Setuptools,python
aiobotocore,Application Integration,Service Integration Frameworks,Aiobotocore,python
python-dateutil,Utility Libraries,Date & Time Utilities,Python-dateutil,python
typing-extensions,Utility Libraries,General Utilities,Typing-extensions,python
packaging,Utility Libraries,General Utilities,Packaging,python
six,Utility Libraries,General Utilities,Six,python
s3fs,Data Management,Data Lakes,S3fs,python
grpcio-status,Application Integration,RPC & Web Services,Grpcio-status,python
s3transfer,Data Management,Data Lakes,S3transfer,python
numpy,Utility Libraries,Collections & Data Structures,Numpy,python
pyyaml,Serialization,JSON & XML,Pyyaml,python
fsspec,Utility Libraries,General Utilities,Fsspec,python
pydantic,Utility Libraries,General Utilities,Pydantic,python
cryptography,Security,Transport Security,Cryptography,python
google-api-core,Application Integration,Service Integration Frameworks,Google-api-core,python
protobuf,Serialization,Schema Management,Protobuf,python
pip,Developer Tooling,Build Tools,Pip,python
pandas,Utility Libraries,Collections & Data Structures,Pandas,python
importlib-metadata,Utility Libraries,Reflection & Metadata,Importlib-metadata,python
cffi,Utility Libraries,General Utilities,Cffi,python
attrs,Utility Libraries,General Utilities,Attrs,python
pycparser,Utility Libraries,General Utilities,Pycparser,python
rsa,Security,Transport Security,Rsa,python
jinja2,Application Development,Template Engines,Jinja2,python
pytz,Utility Libraries,Date & Time Utilities,Pytz,python
jmespath,Utility Libraries,General Utilities,Jmespath,python
pyasn1,Serialization,Binary Formats,Pyasn1,python
markupsafe,Utility Libraries,General Utilities,Markupsafe,python
aiohttp,Application Integration,RPC & Web Services,Aiohttp,python
click,Utility Libraries,General Utilities,Click,python
platformdirs,Utility Libraries,General Utilities,Platformdirs,python
wheel,Developer Tooling,Build Tools,Wheel,python
pydantic-core,Utility Libraries,General Utilities,Pydantic-core,python
zipp,Utility Libraries,General Utilities,Zipp,python
colorama,Utility Libraries,General Utilities,Colorama,python
grpcio-tools,Application Integration,RPC & Web Services,Grpcio-tools,python
awscli,Developer Tooling,Local Development Runtimes,Awscli,python
googleapis-common-protos,Serialization,Schema Management,Googleapis-common-protos,python
filelock,Utility Libraries,General Utilities,Filelock,python
cachetools,Utility Libraries,General Utilities,Cachetools,python
pyasn1-modules,Serialization,Schema Management,Pyasn1-modules,python
pluggy,Testing & Quality,Testing Frameworks,Pluggy,python
google-auth,Security,Identity & Access Management,Google-auth,python
pyjwt,Security,Authentication & Authorization,Pyjwt,python
virtualenv,Developer Tooling,Local Development Runtimes,Virtualenv,python
tzdata,Utility Libraries,Date & Time Utilities,Tzdata,python
wrapt,Utility Libraries,General Utilities,Wrapt,python
h11,Application Integration,RPC & Web Services,H11,python
sniffio,Utility Libraries,General Utilities,Sniffio,python
psutil,Utility Libraries,General Utilities,Psutil,python
anyio,Utility Libraries,General Utilities,Anyio,python
annotated-types,Utility Libraries,General Utilities,Annotated-types,python
pygments,Utility Libraries,General Utilities,Pygments,python
jsonschema,Utility Libraries,General Utilities,Jsonschema,python
pyarrow,Data Management,Data Warehousing,Pyarrow,python
yarl,Utility Libraries,General Utilities,Yarl,python
pytest,Testing & Quality,Testing Frameworks,Pytest,python
